Feature,Importance
kw_avg_avg,0.04551118322829017
kw_max_avg,0.0398381950665678
LDA_04,0.03373999205093672
LDA_02,0.03285570334631448
kw_avg_max,0.03160383113180532
kw_avg_min,0.03026628526655918
self_reference_min_shares,0.0300918250035494
LDA_03,0.02903023766163894
LDA_01,0.028510225475000397
global_subjectivity,0.028420826621059023
LDA_00,0.02821704799785839
self_reference_avg_sharess,0.028194059758549307
n_non_stop_unique_tokens,0.028185022574560282
n_unique_tokens,0.02772227524654797
average_token_length,0.027545366991174346
global_rate_positive_words,0.026803330433148427
avg_positive_polarity,0.02627657773626795
global_sentiment_polarity,0.026106577431655033
kw_max_min,0.02587694275589607
kw_min_avg,0.025336184876404377
